[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [24,0] - 104
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":24}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":130,"offset":0}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,130,0,0,0,187]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,26,97,28,0,24,0,9,200,252,87,224,170,177,94,205,114,164,242,76,160,128,247,1,0,32,184,97,0,0,58]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,26,97,28,0,24,0,9,200,252,87,224,170,177,94,205,114,164,242,76,160,128,247,1,0,32,184,97,0,0,58]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 26 - 3 - 1 - 28 - [0,24,0,9,200,252,87,224,170,177,94,205,114,164,242,76,160,128,247,1,0,32,184,97,0,0] - 58
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":24,"value":{"type":"Buffer","data":[0,9,200,252,87,224,170,177,94,205,114,164,242,76,160,128,247,1,0,32,184,97,0,0]}}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: determining znp startup strategy
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":96}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,96,0,80]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,1,0,113]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,1,0,113]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [1,0] - 113
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":1}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":96,"offset":0}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,96,0,0,0,89]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,3,97,28,0,1,85,42]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,97,28,0,1,85,42]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 3 - 1 - 28 - [0,1,85] - 42
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":1,"value":{"type":"Buffer","data":[85]}}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":33}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,33,0,17]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,116,0,4]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,116,0,4]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [116,0] - 4
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":116}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":33,"offset":0}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,33,0,0,0,24]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,118,97,28,0,116,25,5,2,51,15,51,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,11,0]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,118,97,28,0,116,25,5,2,51,15,51,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,11,0]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [0,0,0,0,0,0,0,0,0,0,65,11,8,0,0,8,0,0,15,15,4,0,1,0,0,0,1,0,0,0,0,239]
